2019-05-30 18:27
Orden original
AS de ORO
2 de ORO
3 de ORO
4 de ORO
5 de ORO
6 de ORO
7 de ORO
8 de ORO
9 de ORO
SOTA de ORO
CABALLO de ORO
REY de ORO
AS de COPA
2 de COPA
3 de COPA
4 de COPA
5 de COPA
6 de COPA
7 de COPA
8 de COPA
9 de COPA
SOTA de COPA
CABALLO de COPA
REY de COPA
AS de ESPADA
2 de ESPADA
3 de ESPADA
4 de ESPADA
5 de ESPADA
6 de ESPADA
7 de ESPADA
8 de ESPADA
9 de ESPADA
SOTA de ESPADA
CABALLO de ESPADA
REY de ESPADA
AS de BASTO
2 de BASTO
3 de BASTO
4 de BASTO
5 de BASTO
6 de BASTO
7 de BASTO
8 de BASTO
9 de BASTO
SOTA de BASTO
CABALLO de BASTO
REY de BASTO
--------------
Barajando
Orden barajado
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
CABALLO de ORO
6 de ORO
3 de ESPADA
4 de ESPADA
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
--------------
Orden Antes de Cortar la baraja
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
CABALLO de ORO
6 de ORO
3 de ESPADA
4 de ESPADA
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
--------------
Nuevo orden tras cortar por la posición 30
CABALLO de ORO
6 de ORO
3 de ESPADA
4 de ESPADA
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
--------------
Tras sacar la carta CABALLO de ORO que estaba en la parte superior la baraja queda:
6 de ORO
3 de ESPADA
4 de ESPADA
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
--------------
Tras sacar la carta 6 de ORO que estaba en la parte superior la baraja queda:
3 de ESPADA
4 de ESPADA
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
--------------
Tras sacar la carta 3 de ESPADA que estaba en la parte superior la baraja queda:
4 de ESPADA
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
--------------
Tras sacar la carta 4 de ESPADA que estaba en la parte superior la baraja queda:
CABALLO de BASTO
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
9 de COPA
SOTA de ORO
SOTA de ESPADA
AS de ORO
9 de ORO
REY de BASTO
8 de COPA
2 de BASTO
8 de ESPADA
3 de COPA
6 de BASTO
--------------
Tras sacar la carta CABALLO de BASTO que estaba en la parte superior la baraja queda:
9 de BASTO
8 de ORO
AS de ESPADA
4 de COPA
4 de ORO
9 de ESPADA
REY de ESPADA
7 de BASTO
CABALLO de ESPADA
REY de COPA
6 de COPA
3 de ORO
AS de BASTO
2 de COPA
2 de ORO
7 de ORO
SOTA de COPA
5 de BASTO
AS de COPA
7 de ESPADA
CABALLO de COPA
3 de BASTO
4 de BASTO
5 de COPA
2 de ESPADA
5 de ESPADA
SOTA de BASTO
5 de ORO
REY de ORO
7 de COPA
8 de BASTO
6 de ESPADA
